rank,ticker,name,sector,price,trailing_pe,mcap_b
1,CI,The Cigna Group,Healthcare,273.63,2.4063847,72.384004096
2,CHTR,"Charter Communications, Inc.",Communication Services,141.65,3.8325217,19.997915136
3,ALL,Allstate Corporation (The),Financial Services,206.95,4.57854,53.273260032
4,CMCSA,Comcast Corporation,Communication Services,24.6451,4.8323727,88.037933056
5,UHS,"Universal Health Services, Inc.",Healthcare,144.99,6.053862,8.777165824
6,EG,"Everest Group, Ltd.",Financial Services,324.74,6.6111565,12.850481152
7,ACGL,Arch Capital Group Ltd.,Financial Services,88.91,6.839231,31.064229888
8,EXE,Expand Energy Corporation,Energy,93.055,6.923735,22.261440512
9,SYF,Synchrony Financial,Financial Services,70.76,7.3250523,23.80155904
10,EIX,Edison International,Utilities,69.16,7.5173917,26.612350976
11,MKC,"McCormick & Company, Incorporat",Consumer Defensive,46.29,7.588525,12.444751872
12,AES,The AES Corporation,Utilities,14.675,7.6432295,10.465589248
13,T,AT&T Inc.,Communication Services,24.735,8.136514,171.867160576
14,GIS,"General Mills, Inc.",Consumer Defensive,33.505,8.191932,17.880989696
15,FIS,Fidelity National Information S,Technology,43.545,8.438953,22.507501568
16,PYPL,"PayPal Holdings, Inc.",Financial Services,45.66,8.566605,40.276934656
17,TRV,"The Travelers Companies, Inc.",Financial Services,289.38,8.635632,61.535121408
18,HIG,"The Hartford Insurance Group, I",Financial Services,126.005,8.867347,34.54185472
19,APA,APA Corporation,Energy,38.07,8.8741255,13.456612352
20,CINF,Cincinnati Financial Corporatio,Financial Services,157.28,8.987429,24.329129984
21,SOLV,Solventum Corporation,Healthcare,75.495,9.240515,13.073825792
22,VICI,VICI Properties Inc.,Real Estate,28.005,9.590753,30.155227136
23,PGR,Progressive Corporation (The),Financial Services,193.3,9.827148,112.790560768
24,UAL,"United Airlines Holdings, Inc.",Industrials,109.935,9.833184,35.681570816
25,FISV,"Fiserv, Inc.",,58.66,9.942372,31.280678912
26,LULU,lululemon athletica inc.,Consumer Cyclical,132.14,9.965309,15.797455872
27,PRU,"Prudential Financial, Inc.",Financial Services,100.365,10.336251,34.859286528
28,CF,"CF Industries Holdings, Inc.",Basic Materials,114.87,10.348648,17.647394816
29,EQT,EQT Corporation,Energy,55.42,10.516129,34.663989248
30,GL,Globe Life Inc.,Financial Services,152.96,10.585467,11.876543488
31,HPQ,HP Inc.,Technology,29.175,10.805555,26.681198592
32,CB,Chubb Limited,Financial Services,310.42,10.980545,120.399536128
33,AMP,"Ameriprise Financial, Inc.",Financial Services,443.38,11.054101,39.858573312
34,TROW,"T. Rowe Price Group, Inc.",Financial Services,104.54,11.216739,22.399430656
35,USB,U.S. Bancorp,Financial Services,53.55,11.226415,83.125649408
